cliente,producto,precio,cantidad,pais,metodo_pago,fecha
Maria,Monitor,1326.0,,peru,Efectivo,2024-01-01 00:00:00
Luisa,Laptop,55.0,2,chile,Tarjeta,2024-01-01 01:00:00
Carlos,Monitor,1203.0,9,Colombia,Efectivo,2024-01-01 02:00:00
Luisa,Monitor,1304.0,3,Perú,TRANSFERENCIA,2024-01-01 03:00:00
Luisa,Monitor,426.0,6,chile,Tarjeta,2024-01-01 04:00:00
Juan,Laptop,857.0,6,COL,transferencia,2024-01-01 05:00:00
Carlos,Laptop,148.0,2,chile,Tarjeta,2024-01-01 06:00:00
Carlos,Celular,256.0,7,Chile,Tarjeta,2024-01-01 07:00:00
Carlos,Mouse,1181.0,9,chile,Tarjeta,2024-01-01 08:00:00
Luisa,Mouse,239.0,1,chile,Efectivo,2024-01-01 09:00:00
Maria,Celular,801.0,8,chile,TRANSFERENCIA,2024-01-01 10:00:00
Carlos,Celular,646.0,2,col,Tarjeta,2024-01-01 11:00:00
Pedro,Monitor,1737.0,1,Colombia,transferencia,2024-01-01 12:00:00
Luisa,Celular,383.0,8,Chile,Tarjeta,2024-01-01 13:00:00
Juan,Teclado,1113.0,2,COL,Tarjeta,2024-01-01 14:00:00
Maria,Mouse,1639.0,6,col,TRANSFERENCIA,2024-01-01 15:00:00
Pedro,Celular,747.0,6,Colombia,transferencia,2024-01-01 16:00:00
Pedro,Teclado,1098.0,5,peru,transferencia,2024-01-01 17:00:00
Juan,Teclado,97.0,8,COL,Efectivo,2024-01-01 18:00:00
Maria,Teclado,1121.0,3,Colombia,transferencia,2024-01-01 19:00:00
Luisa,Teclado,722.0,4,col,transferencia,2024-01-01 20:00:00
Ana,Monitor,1759.0,7,col,transferencia,2024-01-01 21:00:00
Maria,Teclado,1237.0,three,peru,Tarjeta,2024-01-01 22:00:00
Juan,Monitor,1946.0,8,COL,Efectivo,2024-01-01 23:00:00
Pedro,Monitor,1415.0,2,COL,transferencia,2024-01-02 00:00:00
